timestamp,PKW,LKW,Buses,Total,hour,day_of_week,day_of_month,hour_sin,hour_cos,is_weekend,is_rush_hour,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,lag_48,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,roll_mean_24,roll_std_24
2023-01-14 09:00:00,139.0,408.0,145.0,488.0,9,5,14,0.7071067811865476,-0.7071067811865475,1,1,139.0,97.0,72.0,43.0,190.0,322.0,346.0,125.0,24.24871130596696,93.5,38.287073536638395,76.25,35.92700933837882,236.54166666666666,186.89708378553217
2023-01-14 10:00:00,215.0,505.0,190.0,517.0,10,5,14,0.49999999999999994,-0.8660254037844387,1,0,139.0,139.0,97.0,62.0,102.0,313.0,247.0,164.33333333333334,43.87862045841287,119.0,58.648103123630136,85.66666666666667,53.70175777270932,232.45833333333334,186.22332996482584
2023-01-14 11:00:00,282.0,656.0,303.0,533.0,11,5,14,0.258819045102521,-0.9659258262890682,1,0,215.0,139.0,139.0,52.0,75.0,300.0,223.0,212.0,71.54718722633405,157.33333333333334,78.05297346460685,102.91666666666667,77.80214805790519,231.70833333333334,185.97556622278114
2023-01-14 12:00:00,237.0,731.0,298.0,535.0,12,5,14,1.2246467991473532e-16,-1.0,1,0,282.0,215.0,139.0,72.0,56.0,281.0,249.0,244.66666666666666,34.151622704249654,184.83333333333334,70.69488430336823,118.0,85.08391579653986,229.875,185.68517360212735
2023-01-14 13:00:00,221.0,690.0,254.0,526.0,13,5,14,-0.2588190451025208,-0.9659258262890683,1,0,237.0,282.0,215.0,97.0,31.0,417.0,399.0,246.66666666666666,31.628046625320064,205.5,56.603003453880014,133.83333333333334,85.10083145981285,221.70833333333334,181.3570773164191
2023-01-14 14:00:00,206.0,635.0,246.0,553.0,14,5,14,-0.4999999999999997,-0.8660254037844388,1,0,221.0,237.0,282.0,139.0,47.0,476.0,366.0,221.33333333333334,15.502687938981046,216.66666666666666,46.581827644121255,147.08333333333334,82.69600224846873,210.45833333333334,173.08253350871976
2023-01-14 15:00:00,158.0,619.0,263.0,524.0,15,5,14,-0.7071067811865471,-0.7071067811865479,1,0,206.0,221.0,237.0,139.0,43.0,500.0,303.0,195.0,32.90896534381025,219.83333333333334,40.49403248216481,156.66666666666666,75.92380550541576,196.20833333333334,161.9269774141812
2023-01-14 16:00:00,142.0,596.0,235.0,457.0,16,5,14,-0.8660254037844385,-0.5000000000000004,1,0,158.0,206.0,221.0,215.0,62.0,552.0,391.0,168.66666666666666,33.30665599145982,207.66666666666666,51.66301062333301,163.33333333333334,70.14832769772802,179.125,143.31701331086907
2023-01-14 17:00:00,124.0,549.0,212.0,447.0,17,5,14,-0.9659258262890683,-0.25881904510252063,1,1,142.0,158.0,206.0,282.0,52.0,556.0,507.0,141.33333333333334,17.00980109623435,181.33333333333334,46.17214167294625,169.33333333333334,62.41260556436728,161.125,118.98897007706218
2023-01-14 18:00:00,125.0,495.0,157.0,429.0,18,5,14,-1.0,-1.8369701987210297e-16,1,1,124.0,142.0,158.0,237.0,72.0,507.0,458.0,130.33333333333334,10.115993937001903,162.66666666666666,41.57723736212665,173.75,56.49316129167521,145.20833333333334,93.5386361311483
2023-01-14 19:00:00,90.0,417.0,124.0,394.0,19,5,14,-0.9659258262890684,0.2588190451025203,1,1,125.0,124.0,142.0,221.0,97.0,417.0,359.0,113.0,19.924858845174597,140.83333333333334,39.14290059086861,173.16666666666666,57.38677917641293,131.58333333333334,74.00347622073994
2023-01-14 20:00:00,55.0,264.0,62.0,362.0,20,5,14,-0.8660254037844386,0.5000000000000001,1,0,90.0,125.0,124.0,206.0,139.0,253.0,254.0,90.0,35.00000000000202,115.66666666666667,37.36665179898547,166.16666666666666,66.35556198285539,123.33333333333333,70.84868546334546
2023-01-14 21:00:00,32.0,176.0,27.0,303.0,21,5,14,-0.7071067811865477,0.7071067811865474,1,0,55.0,90.0,125.0,158.0,139.0,190.0,138.0,59.0,29.206163733023097,94.66666666666667,43.688289811648914,157.25,76.71804931637045,116.75,71.72001721671026
2023-01-14 22:00:00,15.0,433.0,146.0,306.0,22,5,14,-0.5000000000000004,0.8660254037844384,1,0,32.0,55.0,90.0,142.0,215.0,102.0,95.0,34.0,20.07485989988881,73.5,46.82200337448155,140.58333333333334,84.37412176871757,113.125,74.6372750446247
2023-01-14 23:00:00,13.0,231.0,31.0,227.0,23,5,14,-0.25881904510252157,0.9659258262890681,1,0,15.0,32.0,55.0,124.0,282.0,75.0,53.0,20.0,10.440306508918665,55.0,44.76159067772238,118.16666666666667,78.94628016262139,110.54166666666667,77.04825092767838
2023-01-15 00:00:00,10.0,168.0,23.0,211.0,0,6,15,0.0,1.0,1,0,13.0,15.0,32.0,125.0,237.0,56.0,26.0,12.666666666666666,2.5166114784578393,35.833333333333336,31.428755410716345,99.25,74.98014888804026,108.625,79.0111783505842
2023-01-15 01:00:00,3.0,95.0,11.0,148.0,1,6,15,0.25881904510252074,0.9659258262890683,1,0,10.0,13.0,15.0,90.0,221.0,31.0,30.0,8.666666666666666,5.131601439463841,21.333333333333332,19.08577131442775,81.08333333333333,68.96831727596916,107.45833333333333,80.40169756301476
2023-01-15 02:00:00,3.0,79.0,5.0,150.0,2,6,15,0.49999999999999994,0.8660254037844387,1,0,3.0,10.0,13.0,55.0,206.0,47.0,51.0,5.333333333333333,4.041451884349078,12.666666666666666,10.708252269471147,64.16666666666667,59.83436734144912,105.625,82.31900435659357
2023-01-15 03:00:00,5.0,74.0,6.0,129.0,3,6,15,0.7071067811865476,0.7071067811865476,1,0,3.0,3.0,10.0,32.0,158.0,43.0,44.0,3.6666666666666665,1.154700538455484,8.166666666666666,5.231315959358066,51.416666666666664,54.04284215211804,104.04166666666667,83.9256809774948
2023-01-15 04:00:00,2.0,72.0,2.0,77.0,4,6,15,0.8660254037844386,0.5000000000000001,1,0,5.0,3.0,3.0,15.0,142.0,62.0,75.0,3.3333333333333335,1.5275252317096173,6.0,4.472135954995995,39.75,47.415235372762886,101.54166666666667,86.09801248358286
2023-01-15 05:00:00,2.0,64.0,3.0,77.0,5,6,15,0.9659258262890683,0.25881904510252074,1,0,2.0,5.0,3.0,13.0,124.0,52.0,96.0,3.0,1.732050807619777,4.166666666666667,3.060501048298264,29.583333333333332,40.245741351969855,99.45833333333333,87.93425368429811
2023-01-15 06:00:00,0.0,67.0,1.0,98.0,6,6,15,1.0,6.123233995736766e-17,1,0,2.0,2.0,5.0,10.0,125.0,72.0,245.0,1.3333333333333333,1.1547005384558935,2.5,1.64316767250584,19.166666666666668,27.445262327811406,96.45833333333333,90.11296252200766
