timestamp,PKW,LKW,Buses,Total
2023-01-16 23:00:00,16,208,49,263
2023-01-17 00:00:00,10,155,28,231
2023-01-17 01:00:00,21,131,18,228
2023-01-17 02:00:00,30,78,10,273
2023-01-17 03:00:00,36,82,10,284
2023-01-17 04:00:00,34,81,14,298
2023-01-17 05:00:00,53,135,26,336
2023-01-17 06:00:00,154,236,43,458
2023-01-17 07:00:00,265,387,193,507
2023-01-17 08:00:00,335,526,313,551
2023-01-17 09:00:00,253,584,380,541
2023-01-17 10:00:00,136,577,346,552
2023-01-17 11:00:00,142,597,343,567
2023-01-17 12:00:00,142,595,355,580
2023-01-17 13:00:00,165,587,376,577
2023-01-17 14:00:00,153,595,366,569
2023-01-17 15:00:00,239,625,460,534
2023-01-17 16:00:00,288,665,473,588
2023-01-17 17:00:00,292,678,523,522
2023-01-17 18:00:00,295,559,403,533
2023-01-17 19:00:00,182,475,268,483
2023-01-17 20:00:00,94,374,179,407
2023-01-17 21:00:00,69,299,98,348
2023-01-17 22:00:00,37,239,74,320
2023-01-17 23:00:00,21,251,57,275
2023-01-18 00:00:00,14,137,24,253
2023-01-18 01:00:00,11,78,8,254
2023-01-18 02:00:00,41,82,12,278
2023-01-18 03:00:00,140,65,10,185
2023-01-18 04:00:00,80,67,8,266
2023-01-18 05:00:00,106,107,11,398
2023-01-18 06:00:00,143,216,41,453
2023-01-18 07:00:00,318,354,123,568
2023-01-18 08:00:00,435,490,281,582
2023-01-18 09:00:00,355,573,338,586
2023-01-18 10:00:00,349,603,332,526
2023-01-18 11:00:00,245,537,272,554
2023-01-18 12:00:00,211,562,317,536
2023-01-18 13:00:00,259,617,374,570
2023-01-18 14:00:00,297,666,377,587
2023-01-18 15:00:00,307,627,497,570
2023-01-18 16:00:00,367,725,471,568
2023-01-18 17:00:00,259,716,498,507
2023-01-18 18:00:00,420,635,376,529
2023-01-18 19:00:00,310,458,228,534
2023-01-18 20:00:00,155,333,140,450
2023-01-18 21:00:00,111,246,71,405
2023-01-18 22:00:00,65,199,45,355
2023-01-18 23:00:00,43,154,26,304
2023-01-19 00:00:00,24,152,27,279
2023-01-19 01:00:00,20,92,9,272
2023-01-19 02:00:00,20,79,7,262
2023-01-19 03:00:00,34,68,4,259
2023-01-19 04:00:00,87,58,6,390
2023-01-19 05:00:00,122,99,10,451
2023-01-19 06:00:00,249,164,23,556
2023-01-19 07:00:00,353,338,115,624
2023-01-19 08:00:00,533,479,217,660
2023-01-19 09:00:00,485,614,384,639
2023-01-19 10:00:00,365,605,166,626
2023-01-19 11:00:00,253,600,287,568
2023-01-19 12:00:00,285,613,312,560
2023-01-19 13:00:00,356,637,353,590
2023-01-19 14:00:00,486,682,430,675
2023-01-19 15:00:00,392,716,422,573
2023-01-19 16:00:00,554,742,513,621
2023-01-19 17:00:00,509,765,488,588
2023-01-19 18:00:00,500,652,448,574
2023-01-19 19:00:00,435,510,263,544
2023-01-19 20:00:00,256,382,110,496
2023-01-19 21:00:00,297,273,53,465
2023-01-19 22:00:00,139,223,41,379
2023-01-19 23:00:00,124,164,31,358
2023-01-20 00:00:00,34,162,27,291
2023-01-20 01:00:00,27,128,17,295
2023-01-20 02:00:00,36,67,5,287
2023-01-20 03:00:00,54,65,6,344
2023-01-20 04:00:00,57,54,7,372
2023-01-20 08:00:00,468,374,128,654
2023-01-20 10:00:00,346,570,255,601
2023-01-20 11:00:00,395,620,313,602
2023-01-20 12:00:00,396,752,395,670
2023-01-20 13:00:00,460,804,455,614
2023-01-20 14:00:00,536,851,505,616
2023-01-20 15:00:00,476,862,503,585
2023-01-20 16:00:00,550,875,554,571
2023-01-20 17:00:00,748,781,422,582
2023-01-20 18:00:00,921,697,340,632
2023-01-20 19:00:00,526,479,226,563
2023-01-20 20:00:00,285,385,155,502
2023-01-20 21:00:00,223,268,77,451
2023-01-20 22:00:00,162,226,49,403
2023-01-20 23:00:00,99,177,28,365
2023-01-21 00:00:00,59,111,13,345
2023-01-21 01:00:00,39,89,6,306
2023-01-21 02:00:00,45,81,9,320
2023-01-21 03:00:00,66,50,7,347
2023-01-21 04:00:00,35,41,3,349
2023-01-21 05:00:00,64,67,7,372
2023-01-21 06:00:00,81,79,7,411
2023-01-21 07:00:00,59,162,17,436
2023-01-21 08:00:00,115,267,68,483
2023-01-21 09:00:00,164,429,136,484
2023-01-21 10:00:00,303,551,202,513
2023-01-21 11:00:00,268,641,310,605
2023-01-21 12:00:00,258,635,293,580
2023-01-21 13:00:00,226,603,305,539
2023-01-21 14:00:00,185,593,239,531
2023-01-21 15:00:00,184,583,219,518
2023-01-21 16:00:00,151,538,232,485
2023-01-21 17:00:00,113,554,235,451
2023-01-21 18:00:00,106,498,180,445
2023-01-21 19:00:00,81,391,100,395
2023-01-21 20:00:00,45,382,58,352
2023-01-21 21:00:00,63,277,21,307
2023-01-21 22:00:00,13,206,13,260
2023-01-21 23:00:00,10,155,8,252
2023-01-22 00:00:00,5,133,12,209
2023-01-22 01:00:00,21,96,2,146
2023-01-22 02:00:00,2,64,3,142
2023-01-22 03:00:00,10,47,4,148
2023-01-22 04:00:00,3,50,3,105
2023-01-22 05:00:00,1,32,3,100
2023-01-22 06:00:00,1,37,3,82
2023-01-22 07:00:00,1,51,4,111
2023-01-22 08:00:00,0,74,5,116
2023-01-22 09:00:00,5,131,16,263
2023-01-22 10:00:00,9,273,49,355
2023-01-22 11:00:00,12,545,173,433
2023-01-22 12:00:00,16,783,349,462
2023-01-22 13:00:00,58,769,318,635
2023-01-22 14:00:00,77,803,423,644
2023-01-22 15:00:00,114,844,473,577
2023-01-22 16:00:00,149,770,387,692
2023-01-22 17:00:00,164,769,366,604
2023-01-22 18:00:00,155,753,350,583
2023-01-22 19:00:00,108,686,289,557
2023-01-22 20:00:00,51,565,201,481
2023-01-22 21:00:00,41,427,130,406
2023-01-22 22:00:00,29,313,67,357
2023-01-22 23:00:00,16,337,104,246
2023-01-23 00:00:00,10,297,101,175
2023-01-23 01:00:00,7,252,71,170
2023-01-23 02:00:00,8,185,49,150
2023-01-23 03:00:00,4,143,27,156
2023-01-23 04:00:00,5,195,38,177
2023-01-23 05:00:00,30,258,61,270
2023-01-23 06:00:00,84,341,127,366
2023-01-23 07:00:00,228,517,310,471
2023-01-23 08:00:00,172,644,414,512
2023-01-23 09:00:00,185,610,436,522
2023-01-23 10:00:00,119,637,455,543
2023-01-23 11:00:00,108,628,435,538
2023-01-23 12:00:00,102,671,463,543
2023-01-23 13:00:00,123,690,469,542
2023-01-23 14:00:00,137,666,498,506
2023-01-23 15:00:00,135,676,493,481
2023-01-23 16:00:00,134,701,620,493
2023-01-23 17:00:00,179,713,599,505
2023-01-23 18:00:00,190,613,491,457
2023-01-23 19:00:00,94,497,357,422
2023-01-23 20:00:00,77,436,230,350
2023-01-23 21:00:00,30,347,130,341
2023-01-23 22:00:00,19,236,67,304
2023-01-23 23:00:00,33,258,55,245
2023-01-24 00:00:00,26,188,33,226
2023-01-24 01:00:00,15,144,31,224
2023-01-24 02:00:00,26,77,4,261
2023-01-24 03:00:00,33,81,13,309
2023-01-24 04:00:00,33,60,6,283
2023-01-24 05:00:00,59,133,21,356
2023-01-24 06:00:00,130,258,66,430
2023-01-24 07:00:00,266,385,167,497
2023-01-24 08:00:00,322,555,360,564
2023-01-24 09:00:00,309,596,368,591
2023-01-24 10:00:00,292,571,322,523
2023-01-24 11:00:00,258,563,367,522
2023-01-24 12:00:00,196,595,362,507
2023-01-24 13:00:00,219,572,348,513
2023-01-24 14:00:00,218,624,442,522
